old_name,strain,substrate,day,new_name
IMG_4712,bmtr3-35-2,pectin-citrus,5d,bmtr3-35-2_pectin-citrus_5d
IMG_4713,bmtr3-35-2,SBP,5d,bmtr3-35-2_SBP_5d
IMG_4714,bmtr3-35-2,none,5d,bmtr3-35-2_none_5d
IMG_4715,bmtr3-35-2,glycerol,5d,bmtr3-35-2_glycerol_5d
IMG_4716,bmtr3-35-2,cellobiose,5d,bmtr3-35-2_cellobiose_5d
IMG_4717,bmtr3-35-2,xylose,5d,bmtr3-35-2_xylose_5d
IMG_4718,bmtr3-35-2,fructose,5d,bmtr3-35-2_fructose_5d
IMG_4719,bmtr3-35-2,mannose,5d,bmtr3-35-2_mannose_5d
IMG_4720,bmtr3-35-2,arabinose,5d,bmtr3-35-2_arabinose_5d
IMG_4721,bmtr3-35-2,galactose,5d,bmtr3-35-2_galactose_5d
IMG_4722,bmtr3-35-2,rhamnose,5d,bmtr3-35-2_rhamnose_5d
IMG_4723,bmtr3-35-2,galacturonic-acid,5d,bmtr3-35-2_galacturonic-acid_5d
IMG_4724,bmtr3-35-2,lactose,5d,bmtr3-35-2_lactose_5d
IMG_4725,bmtr5-80-9,cellulose,5d,bmtr5-80-9_cellulose_5d
IMG_4726,bmtr5-80-9,celluloseBPB,5d,bmtr5-80-9_celluloseBPB_5d
IMG_4727,bmtr5-80-9,starch,5d,bmtr5-80-9_starch_5d
IMG_4728,bmtr5-80-9,inulin,5d,bmtr5-80-9_inulin_5d
IMG_4729,bmtr5-80-9,guar-gum,5d,bmtr5-80-9_guar-gum_5d
IMG_4730,bmtr5-80-9,PGA,5d,bmtr5-80-9_PGA_5d
IMG_4731,bmtr5-80-9,pectin-apple,5d,bmtr5-80-9_pectin-apple_5d
IMG_4732,bmtr5-80-9,pectin-citrus,5d,bmtr5-80-9_pectin-citrus_5d
IMG_4733,bmtr5-80-9,SBP,5d,bmtr5-80-9_SBP_5d
IMG_4735,bmtr5-80-9,none,5d,bmtr5-80-9_none_5d
IMG_4736,bmtr5-80-9,glycerol,5d,bmtr5-80-9_glycerol_5d
IMG_4737,bmtr5-80-9,cellobiose,5d,bmtr5-80-9_cellobiose_5d
IMG_4738,bmtr5-80-9,xylose,5d,bmtr5-80-9_xylose_5d
IMG_4739,bmtr5-80-9,fructose,5d,bmtr5-80-9_fructose_5d
IMG_4740,bmtr5-80-9,mannose,5d,bmtr5-80-9_mannose_5d
IMG_4741,bmtr5-80-9,arabinose,5d,bmtr5-80-9_arabinose_5d
IMG_4742,bmtr5-80-9,galactose,5d,bmtr5-80-9_galactose_5d
IMG_4743,bmtr5-80-9,rhamnose,5d,bmtr5-80-9_rhamnose_5d
IMG_4744,bmtr5-80-9,galacturonic-acid,5d,bmtr5-80-9_galacturonic-acid_5d
IMG_4745,bmtr5-80-9,lactose,5d,bmtr5-80-9_lactose_5d
